Filename,Predictions
test\10004.jpg,mountain
test\10005.jpg,buildings
test\10012.jpg,buildings
test\10013.jpg,mountain
test\10017.jpg,street
test\10021.jpg,glacier
test\1003.jpg,glacier
test\10034.jpg,forest
test\10038.jpg,mountain
test\10040.jpg,mountain
test\10043.jpg,street
test\10045.jpg,buildings
test\10047.jpg,forest
test\10048.jpg,forest
test\10052.jpg,street
test\10054.jpg,mountain
test\10059.jpg,mountain
test\10060.jpg,mountain
test\10066.jpg,glacier
test\10069.jpg,street
test\10073.jpg,mountain
test\10079.jpg,forest
test\1008.jpg,mountain
test\10082.jpg,glacier
test\10083.jpg,mountain
test\10090.jpg,buildings
test\10092.jpg,mountain
test\10096.jpg,buildings
test\101.jpg,mountain
test\10100.jpg,buildings
test\10101.jpg,mountain
test\10102.jpg,mountain
test\10106.jpg,forest
test\10109.jpg,street
test\10119.jpg,sea
test\10124.jpg,sea
test\10127.jpg,mountain
test\10129.jpg,mountain
test\10132.jpg,glacier
test\10133.jpg,street
test\10147.jpg,forest
test\10157.jpg,buildings
test\10158.jpg,buildings
test\10159.jpg,street
test\1016.jpg,sea
test\10164.jpg,glacier
test\10166.jpg,mountain
test\10168.jpg,street
test\10169.jpg,glacier
test\10171.jpg,forest
test\10173.jpg,buildings
test\10175.jpg,forest
test\10178.jpg,glacier
test\10179.jpg,street
test\1018.jpg,forest
test\10187.jpg,buildings
test\10190.jpg,sea
test\10199.jpg,sea
test\1020.jpg,forest
test\10201.jpg,mountain
test\10208.jpg,buildings
test\10209.jpg,buildings
test\10211.jpg,mountain
test\10212.jpg,buildings
test\10225.jpg,sea
test\10226.jpg,buildings
test\10232.jpg,buildings
test\10233.jpg,buildings
test\10241.jpg,street
test\10243.jpg,mountain
test\10244.jpg,glacier
test\10246.jpg,mountain
test\10247.jpg,sea
test\10253.jpg,street
test\1026.jpg,forest
test\10261.jpg,buildings
test\10269.jpg,street
test\10270.jpg,street
test\10272.jpg,sea
test\10276.jpg,street
test\10277.jpg,mountain
test\10282.jpg,street
test\10284.jpg,buildings
test\10286.jpg,street
test\10287.jpg,glacier
test\10288.jpg,glacier
test\10290.jpg,mountain
test\10292.jpg,glacier
test\10293.jpg,buildings
test\103.jpg,sea
test\10302.jpg,sea
test\10305.jpg,buildings
test\10307.jpg,buildings
test\10308.jpg,glacier
test\10311.jpg,forest
test\10321.jpg,street
test\10333.jpg,mountain
test\10336.jpg,mountain
test\10339.jpg,street
test\10340.jpg,glacier
test\10342.jpg,mountain
test\10352.jpg,glacier
test\10356.jpg,glacier
test\1036.jpg,glacier
test\10360.jpg,mountain
test\10363.jpg,buildings
test\10366.jpg,buildings
test\1037.jpg,buildings
test\10371.jpg,forest
test\10375.jpg,glacier
test\10377.jpg,glacier
test\10381.jpg,buildings
test\10388.jpg,glacier
test\1039.jpg,street
test\10390.jpg,mountain
test\10391.jpg,buildings
test\10395.jpg,street
test\10397.jpg,street
test\10400.jpg,buildings
test\10401.jpg,buildings
test\10405.jpg,buildings
test\10406.jpg,street
test\10409.jpg,sea
test\10410.jpg,glacier
test\10413.jpg,mountain
test\10414.jpg,street
test\10415.jpg,glacier
test\10419.jpg,buildings
test\10423.jpg,street
test\10424.jpg,buildings
test\10425.jpg,mountain
test\10427.jpg,glacier
test\10434.jpg,sea
test\10435.jpg,glacier
test\10436.jpg,mountain
test\10437.jpg,forest
test\10439.jpg,mountain
test\10445.jpg,buildings
test\10447.jpg,forest
test\10457.jpg,buildings
test\10458.jpg,glacier
test\1046.jpg,glacier
test\10461.jpg,glacier
test\10469.jpg,mountain
test\10471.jpg,mountain
test\10475.jpg,mountain
test\10477.jpg,street
test\10478.jpg,sea
test\10479.jpg,forest
test\1048.jpg,buildings
test\10481.jpg,forest
test\10484.jpg,buildings
test\10486.jpg,street
test\1049.jpg,sea
test\10498.jpg,buildings
test\10501.jpg,mountain
test\1051.jpg,forest
test\10512.jpg,sea
test\1052.jpg,mountain
test\10522.jpg,street
test\10523.jpg,forest
test\1053.jpg,buildings
test\10530.jpg,street
test\10531.jpg,forest
test\10534.jpg,buildings
test\10535.jpg,mountain
test\10538.jpg,mountain
test\10545.jpg,mountain
test\10549.jpg,glacier
test\10557.jpg,sea
test\10558.jpg,mountain
test\10560.jpg,mountain
test\10561.jpg,mountain
test\10568.jpg,sea
test\10572.jpg,glacier
test\10579.jpg,street
test\10583.jpg,buildings
test\10585.jpg,buildings
test\10586.jpg,sea
test\10587.jpg,buildings
test\10590.jpg,buildings
test\10591.jpg,glacier
test\10593.jpg,mountain
test\1060.jpg,sea
test\1061.jpg,mountain
test\10612.jpg,glacier
test\10614.jpg,buildings
test\10615.jpg,mountain
test\10622.jpg,sea
test\10625.jpg,sea
test\10629.jpg,street
test\10631.jpg,forest
test\10634.jpg,buildings
test\10638.jpg,sea
test\10649.jpg,forest
test\10651.jpg,street
test\10652.jpg,forest
test\10657.jpg,mountain
test\1066.jpg,sea
test\10660.jpg,forest
test\10669.jpg,sea
test\10674.jpg,sea
test\10675.jpg,forest
test\10676.jpg,mountain
test\10677.jpg,street
test\10679.jpg,street
test\10680.jpg,mountain
test\10682.jpg,mountain
test\10685.jpg,street
test\10694.jpg,buildings
test\10696.jpg,buildings
test\10698.jpg,forest
test\1070.jpg,mountain
test\10700.jpg,mountain
test\10701.jpg,mountain
test\10702.jpg,mountain
test\10708.jpg,sea
test\1071.jpg,forest
test\10712.jpg,forest
test\1072.jpg,glacier
test\10726.jpg,forest
test\10733.jpg,forest
test\10734.jpg,buildings
test\10737.jpg,street
test\10742.jpg,sea
test\10746.jpg,street
test\10748.jpg,forest
test\10749.jpg,mountain
test\10755.jpg,glacier
test\10758.jpg,glacier
test\1076.jpg,forest
test\10760.jpg,glacier
test\10762.jpg,sea
test\10764.jpg,mountain
test\10768.jpg,buildings
test\10769.jpg,mountain
test\10771.jpg,glacier
test\10782.jpg,sea
test\10785.jpg,street
test\10797.jpg,sea
test\10799.jpg,buildings
test\10806.jpg,glacier
test\10807.jpg,street
test\1081.jpg,mountain
test\10813.jpg,glacier
test\10814.jpg,forest
test\10816.jpg,glacier
test\10817.jpg,mountain
test\10818.jpg,buildings
test\10819.jpg,mountain
test\1082.jpg,forest
test\10823.jpg,mountain
test\10829.jpg,buildings
test\1083.jpg,sea
test\10830.jpg,street
test\10836.jpg,glacier
test\10839.jpg,glacier
test\1084.jpg,mountain
test\10843.jpg,mountain
test\10844.jpg,sea
test\10855.jpg,sea
test\10858.jpg,mountain
test\1086.jpg,buildings
test\10860.jpg,mountain
test\10864.jpg,mountain
test\10866.jpg,sea
test\10869.jpg,buildings
test\10871.jpg,mountain
test\10873.jpg,street
test\10875.jpg,street
test\10879.jpg,sea
test\10880.jpg,glacier
test\10885.jpg,buildings
test\10888.jpg,glacier
test\10890.jpg,street
test\10893.jpg,buildings
test\10894.jpg,glacier
test\10897.jpg,street
test\10901.jpg,glacier
test\10905.jpg,glacier
test\10906.jpg,buildings
test\10910.jpg,street
test\10913.jpg,sea
test\10914.jpg,glacier
test\10918.jpg,buildings
test\10919.jpg,glacier
test\1092.jpg,buildings
test\10920.jpg,mountain
test\10923.jpg,buildings
test\10930.jpg,sea
test\10931.jpg,mountain
test\10933.jpg,mountain
test\10934.jpg,glacier
test\10939.jpg,street
test\10944.jpg,buildings
test\10945.jpg,forest
test\10949.jpg,glacier
test\1095.jpg,buildings
test\10952.jpg,buildings
test\10956.jpg,sea
test\10957.jpg,glacier
test\10960.jpg,buildings
test\10964.jpg,buildings
test\10968.jpg,buildings
test\10969.jpg,glacier
test\10976.jpg,buildings
test\10979.jpg,buildings
test\10981.jpg,buildings
test\10987.jpg,forest
test\10988.jpg,street
test\10989.jpg,buildings
test\10991.jpg,glacier
test\10998.jpg,sea
test\10999.jpg,street
test\11.jpg,buildings
test\110.jpg,forest
test\11000.jpg,buildings
test\11001.jpg,buildings
test\11005.jpg,mountain
test\11009.jpg,mountain
test\1101.jpg,street
test\11012.jpg,glacier
test\11013.jpg,buildings
test\11014.jpg,buildings
test\11015.jpg,mountain
test\11017.jpg,street
test\1102.jpg,forest
test\11021.jpg,mountain
test\11022.jpg,glacier
test\11025.jpg,mountain
test\11031.jpg,sea
test\11038.jpg,mountain
test\11059.jpg,buildings
test\11061.jpg,mountain
test\11065.jpg,buildings
test\11067.jpg,street
test\11071.jpg,sea
test\11073.jpg,glacier
test\11078.jpg,forest
test\11079.jpg,buildings
test\11082.jpg,mountain
test\11087.jpg,mountain
test\1109.jpg,sea
test\11091.jpg,glacier
test\11101.jpg,glacier
test\11102.jpg,sea
test\11103.jpg,forest
test\11104.jpg,forest
test\11105.jpg,mountain
test\11109.jpg,buildings
test\11115.jpg,buildings
test\11119.jpg,sea
test\11120.jpg,glacier
test\11121.jpg,mountain
test\11123.jpg,forest
test\11126.jpg,street
test\1113.jpg,mountain
test\11130.jpg,mountain
test\11135.jpg,forest
test\11137.jpg,glacier
test\1114.jpg,buildings
test\11145.jpg,buildings
test\11147.jpg,mountain
test\11153.jpg,buildings
test\11155.jpg,buildings
test\11158.jpg,buildings
test\11159.jpg,forest
test\11163.jpg,glacier
test\11166.jpg,buildings
test\11167.jpg,glacier
test\11170.jpg,forest
test\11172.jpg,buildings
test\11174.jpg,sea
test\11175.jpg,buildings
test\11179.jpg,buildings
test\1119.jpg,mountain
test\11191.jpg,buildings
test\11192.jpg,buildings
test\11193.jpg,mountain
test\11194.jpg,forest
test\11195.jpg,buildings
test\11201.jpg,mountain
test\11205.jpg,sea
test\11208.jpg,sea
test\11210.jpg,buildings
test\11214.jpg,glacier
test\11216.jpg,mountain
test\11222.jpg,buildings
test\11224.jpg,glacier
test\11227.jpg,buildings
test\1123.jpg,mountain
test\11230.jpg,street
test\11240.jpg,buildings
test\11242.jpg,glacier
test\11243.jpg,forest
test\11245.jpg,mountain
test\11248.jpg,forest
test\1125.jpg,glacier
test\11250.jpg,buildings
test\11252.jpg,sea
test\11256.jpg,glacier
test\11258.jpg,mountain
test\11260.jpg,forest
test\11269.jpg,glacier
test\11273.jpg,mountain
test\11285.jpg,mountain
test\11298.jpg,buildings
test\11299.jpg,mountain
test\1130.jpg,glacier
test\11301.jpg,forest
test\11308.jpg,street
test\11318.jpg,sea
test\11322.jpg,buildings
test\11324.jpg,glacier
test\11328.jpg,buildings
test\11330.jpg,street
test\11335.jpg,buildings
test\11337.jpg,street
test\11341.jpg,forest
test\11353.jpg,forest
test\11356.jpg,mountain
test\11357.jpg,buildings
test\1136.jpg,glacier
test\11361.jpg,mountain
test\11370.jpg,buildings
test\11386.jpg,glacier
test\11391.jpg,buildings
test\11392.jpg,mountain
test\11394.jpg,buildings
test\11397.jpg,sea
test\11399.jpg,glacier
test\11403.jpg,mountain
test\11408.jpg,buildings
test\1141.jpg,buildings
test\11411.jpg,forest
test\11420.jpg,glacier
test\11422.jpg,mountain
test\11423.jpg,buildings
test\11427.jpg,sea
test\1143.jpg,mountain
test\11430.jpg,street
test\11431.jpg,forest
test\11433.jpg,street
test\11435.jpg,glacier
test\11443.jpg,street
test\11444.jpg,glacier
test\11445.jpg,glacier
test\11449.jpg,buildings
test\11454.jpg,street
test\11461.jpg,buildings
test\11462.jpg,street
test\11463.jpg,buildings
test\11478.jpg,street
test\11481.jpg,glacier
test\11485.jpg,glacier
test\11486.jpg,mountain
test\11488.jpg,forest
test\11496.jpg,buildings
test\1150.jpg,buildings
test\11500.jpg,sea
test\11501.jpg,buildings
test\11509.jpg,glacier
test\11511.jpg,glacier
test\11517.jpg,buildings
test\11520.jpg,street
test\11521.jpg,forest
test\11525.jpg,buildings
test\11527.jpg,mountain
test\11529.jpg,sea
test\11531.jpg,forest
test\11533.jpg,buildings
test\11538.jpg,forest
test\11540.jpg,sea
test\11546.jpg,buildings
test\11547.jpg,buildings
test\11548.jpg,buildings
test\11549.jpg,glacier
test\11551.jpg,forest
test\11564.jpg,mountain
test\11565.jpg,buildings
